file,frequency,language,competence,source,target
en_013.txt,21.0526315789,EN,professional,21.0526315789,13.5135135135
en_014.txt,7.6923076923,EN,professional,7.6923076923,17.9487179487
en_015.txt,12.5,EN,professional,12.5,17.4603174603
en_016.txt,17.5925925926,EN,professional,17.5925925926,12.8440366972
en_017.txt,2.2727272727,EN,professional,2.2727272727,10.4166666667
en_018.txt,5.2631578947,EN,professional,5.2631578947,5.2631578947
en_019.txt,21.1382113821,EN,professional,21.1382113821,17.2131147541
en_02.txt,5.1282051282,EN,professional,5.1282051282,6.5217391304
en_020.txt,12.8712871287,EN,professional,12.8712871287,16.6666666667
en_021.txt,13.4831460674,EN,professional,13.4831460674,15.2173913043
en_022.txt,6.5743944637,EN,professional,6.5743944637,13.0718954248
en_023.txt,9.6446700508,EN,professional,9.6446700508,20.618556701
en_024.txt,12,EN,professional,12,15.6862745098
en_025.txt,5.4054054054,EN,professional,5.4054054054,8.1081081081
en_026.txt,9.375,EN,professional,9.375,43.3333333333
en_027.txt,2.4390243902,EN,professional,2.4390243902,17.7777777778
en_028.txt,2.5,EN,professional,2.5,8.6956521739
en_029.txt,4.6875,EN,professional,4.6875,7.5757575758
en_03.txt,16.3265306122,EN,professional,16.3265306122,17.8571428571
en_030.txt,6.1728395062,EN,professional,6.1728395062,6.5789473684
en_031.txt,3.4482758621,EN,professional,3.4482758621,31.4285714286
en_032.txt,21.4285714286,EN,professional,21.4285714286,18.6046511628
en_033.txt,22.7272727273,EN,professional,22.7272727273,22.2222222222
en_034.txt,12.9032258065,EN,professional,12.9032258065,28.125
en_035.txt,7.8947368421,EN,professional,7.8947368421,11.6279069767
en_036.txt,2.7777777778,EN,professional,2.7777777778,9.0909090909
en_037.txt,22.5352112676,EN,professional,22.5352112676,20.7317073171
en_038.txt,9.6774193548,EN,professional,9.6774193548,22.5806451613
en_039.txt,9.0909090909,EN,professional,9.0909090909,18.1818181818
en_04.txt,15.1515151515,EN,professional,15.1515151515,16.6666666667
en_040.txt,9.375,EN,professional,9.375,18.9189189189
en_041.txt,13.8888888889,EN,professional,13.8888888889,26.0563380282
en_042.txt,4.7619047619,EN,professional,4.7619047619,11.1111111111
en_043.txt,15.5555555556,EN,professional,15.5555555556,12.030075188
en_044.txt,18.1818181818,EN,professional,18.1818181818,22.2222222222
en_045.txt,3.3333333333,EN,professional,3.3333333333,4.4776119403
en_046.txt,18.75,EN,professional,18.75,22.9166666667
en_047.txt,9.4736842105,EN,professional,9.4736842105,16.3043478261
en_048.txt,19.512195122,EN,professional,19.512195122,10.6382978723
en_049.txt,8.5106382979,EN,professional,8.5106382979,14.5833333333
en_05.txt,20.9302325581,EN,professional,20.9302325581,22.962962963
